date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:57:50	11840/11840	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Dec%202021%2011:46:51%20GMT	http://taotajima.jp/	C:/Meus%20Sites/site%20bonito/taotajima.jp/index.html	(from )
02:57:50	208/208	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Apr%202023%2005:57:51%20GMT	http://taotajima.jp/robots.txt		(from )
02:57:51	1475/1475	---M-Z	200	added ('OK')	image/png	date:Sat,%2011%20Aug%202018%2009:22:45%20GMT	http://taotajima.jp/images/favicon/apple-touch-icon.png	C:/Meus%20Sites/site%20bonito/taotajima.jp/images/favicon/apple-touch-icon.png	(from http://taotajima.jp/)
02:57:51	307/307	---M-Z	200	added ('OK')	image/png	date:Sat,%2011%20Aug%202018%2009:22:45%20GMT	http://taotajima.jp/images/favicon/favicon-32x32.png	C:/Meus%20Sites/site%20bonito/taotajima.jp/images/favicon/favicon-32x32.png	(from http://taotajima.jp/)
02:57:52	178/178	---M-Z	200	added ('OK')	image/png	date:Sat,%2011%20Aug%202018%2009:22:45%20GMT	http://taotajima.jp/images/favicon/favicon-16x16.png	C:/Meus%20Sites/site%20bonito/taotajima.jp/images/favicon/favicon-16x16.png	(from http://taotajima.jp/)
02:57:52	443/443	---M-Z	200	added ('OK')	application/json	date:Sat,%2011%20Aug%202018%2009:22:38%20GMT	http://taotajima.jp/manifest.json	C:/Meus%20Sites/site%20bonito/taotajima.jp/manifest.json	(from http://taotajima.jp/)
02:57:52	1274/1274	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2011%20Aug%202018%2009:22:46%20GMT	http://taotajima.jp/images/favicon/safari-pinned-tab.svg	C:/Meus%20Sites/site%20bonito/taotajima.jp/images/favicon/safari-pinned-tab.svg	(from http://taotajima.jp/)
02:57:53	7406/7406	---M-Z	200	added ('OK')	image/x-icon	date:Sat,%2011%20Aug%202018%2009:22:45%20GMT	http://taotajima.jp/images/favicon/favicon.ico	C:/Meus%20Sites/site%20bonito/taotajima.jp/images/favicon/favicon.ico	(from http://taotajima.jp/)
02:57:53	60001/60001	---M-Z	200	added ('OK')	text/css	date:Sat,%2011%20Aug%202018%2009:22:39%20GMT	http://taotajima.jp/css/main.css?date=20180616	C:/Meus%20Sites/site%20bonito/taotajima.jp/css/main0251.css	(from http://taotajima.jp/)
02:57:54	11009/11009	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2011%20Aug%202018%2009:22:39%20GMT	http://taotajima.jp/js/lib-head.pack.min.js?date=20171208	C:/Meus%20Sites/site%20bonito/taotajima.jp/js/lib-head.pack.min1e1c.js	(from http://taotajima.jp/)
